Province,Destination,Occupation,Skill_Level,Sex,Age_Group,Mode_of_Approval,Risk_Score,Risk_Category,Injury_Probability,Illness_Probability,Injury_Occurred,Illness_Occurred,Years_Experience,Monthly_Salary_USD,Contract_Duration_Months
Province 1,Japan,Domestic Work,Semi-skilled,Male,35-44,Recruitment Agency,6,Medium,0.088,0.194,0,0,4,1154,24
Sudurpashchim,Kuwait,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.012,0.022,0,0,1,804,12
Bagmati,Kuwait,Healthcare,Skilled,Female,25-34,Individual,1,Low,0.013,0.023,0,0,3,706,24
Bagmati,Saudi Arabia,Hospitality,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.137,0.151,1,1,4,325,12
Bagmati,South Korea,Cleaning,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.044,0.064,0,0,2,471,24
Karnali,UK,Cleaning,Semi-skilled,Female,18-24,Recruitment Agency,4,Medium,0.143,0.131,0,0,5,1169,24
Karnali,Bahrain,Manufacturing,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.089,0.15,0,1,9,746,24
Bagmati,Kuwait,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,8,High,0.258,0.278,0,0,2,1004,12
Lumbini,Kuwait,Construction,Unskilled,Female,18-24,Recruitment Agency,10,High,0.242,0.265,0,0,9,1380,12
Sudurpashchim,Oman,Hospitality,Skilled,Male,18-24,Recruitment Agency,2,Low,0.023,0.063,0,0,5,920,12
Madhesh,Bahrain,Healthcare,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.09,0.164,0,0,7,459,12
Lumbini,UK,Manufacturing,Skilled,Female,25-34,Recruitment Agency,1,Low,0.02,0.065,0,0,7,1350,24
Gandaki,UK,Domestic Work,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.123,0.141,0,0,1,1237,12
Madhesh,Malaysia,Construction,Skilled,Male,25-34,Recruitment Agency,7,High,0.29,0.291,0,0,3,505,12
Gandaki,Saudi Arabia,Cleaning,Unskilled,Male,25-34,Individual,5,Medium,0.063,0.127,0,0,4,302,12
Sudurpashchim,Saudi Arabia,Cleaning,Unskilled,Male,25-34,Recruitment Agency,8,High,0.175,0.227,0,1,9,1068,24
Sudurpashchim,Malaysia,Hospitality,Semi-skilled,Male,35-44,Recruitment Agency,4,Medium,0.134,0.109,0,0,7,1103,12
Karnali,Saudi Arabia,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.289,0.256,0,1,3,587,12
Karnali,Japan,Manufacturing,Skilled,Male,25-34,Recruitment Agency,3,Low,0.035,0.052,0,0,6,695,12
Province 1,UK,Manufacturing,Unskilled,Female,18-24,Recruitment Agency,6,Medium,0.123,0.137,0,0,2,312,24
Sudurpashchim,Oman,Hospitality,Unskilled,Female,25-34,Individual,3,Low,0.028,0.032,0,0,3,1413,12
Bagmati,South Korea,Driving,Unskilled,Male,35-44,Individual,4,Medium,0.119,0.163,0,0,2,368,24
Sudurpashchim,Kuwait,Construction,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.052,0.108,0,1,9,335,24
Gandaki,Japan,Domestic Work,Skilled,Male,25-34,Recruitment Agency,2,Low,0.032,0.052,0,0,6,366,36
Gandaki,Qatar,Hospitality,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.101,0.175,0,1,4,593,24
Province 1,South Korea,Domestic Work,Semi-skilled,Male,35-44,Recruitment Agency,6,Medium,0.087,0.165,0,0,2,1441,36
Karnali,Saudi Arabia,Healthcare,Unskilled,Female,25-34,Recruitment Agency,9,High,0.254,0.315,0,1,5,1393,12
Karnali,Malaysia,Cleaning,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.056,0.2,0,0,8,1479,24
Province 1,Oman,Domestic Work,Skilled,Male,18-24,Individual,4,Medium,0.105,0.171,0,0,5,405,12
Sudurpashchim,Japan,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.187,0.304,0,1,9,802,24
Sudurpashchim,UK,Healthcare,Skilled,Female,18-24,Recruitment Agency,2,Low,0.037,0.04,0,0,8,658,12
Bagmati,Oman,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.253,0.244,1,0,1,609,24
Province 1,Qatar,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.24,0.24,0,0,1,568,36
Lumbini,Kuwait,Hospitality,Semi-skilled,Male,35-44,Recruitment Agency,3,Low,0.043,0.031,0,0,5,603,12
Karnali,Oman,Domestic Work,Skilled,Male,45+,Recruitment Agency,5,Medium,0.098,0.104,0,0,4,1075,24
Karnali,Japan,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.137,0.166,1,0,4,1157,24
Province 1,Saudi Arabia,Cleaning,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.082,0.173,0,0,5,562,24
Province 1,UAE,Cleaning,Skilled,Male,18-24,Recruitment Agency,3,Low,0.01,0.065,1,0,5,1167,12
Sudurpashchim,Kuwait,Cleaning,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.108,0.121,0,1,6,1051,36
Province 1,Kuwait,Driving,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.054,0.159,0,0,1,508,12
Gandaki,UK,Cleaning,Skilled,Male,45+,Recruitment Agency,0,Low,0.02,0.049,0,0,2,1124,36
Sudurpashchim,UK,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.092,0.144,1,0,3,1487,12
Sudurpashchim,UAE,Hospitality,Unskilled,Male,18-24,Recruitment Agency,7,High,0.218,0.324,0,1,2,816,24
Madhesh,Malaysia,Driving,Unskilled,Male,25-34,Recruitment Agency,7,High,0.275,0.211,0,0,1,709,24
Province 1,UAE,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.253,0.253,1,1,5,1457,12
Bagmati,Kuwait,Cleaning,Skilled,Male,35-44,Recruitment Agency,3,Low,0.026,0.041,0,0,1,1169,12
Karnali,UK,Cleaning,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.141,0.152,0,0,2,863,12
Madhesh,Japan,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.166,0.347,0,0,7,905,12
Province 1,Kuwait,Manufacturing,Semi-skilled,Male,45+,Recruitment Agency,6,Medium,0.073,0.199,0,0,7,757,12
Bagmati,Oman,Cleaning,Semi-skilled,Male,25-34,Recruitment Agency,3,Low,0.029,0.05,0,0,8,334,12
Sudurpashchim,Kuwait,Cleaning,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.098,0.17,0,0,3,1344,12
Gandaki,Saudi Arabia,Construction,Semi-skilled,Male,35-44,Recruitment Agency,9,High,0.157,0.233,0,0,6,320,12
Madhesh,Bahrain,Hospitality,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.057,0.191,0,0,3,540,12
Bagmati,UAE,Driving,Unskilled,Male,35-44,Recruitment Agency,7,High,0.23,0.321,0,0,6,345,36
Karnali,UK,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.076,0.123,0,0,4,694,24
Lumbini,UK,Domestic Work,Skilled,Male,25-34,Recruitment Agency,2,Low,0.049,0.069,0,0,3,1047,12
Lumbini,Oman,Manufacturing,Semi-skilled,Male,35-44,Recruitment Agency,3,Low,0.035,0.044,0,0,5,1131,24
Sudurpashchim,South Korea,Healthcare,Skilled,Male,25-34,Recruitment Agency,1,Low,0.03,0.066,0,0,9,1060,36
Bagmati,Bahrain,Construction,Skilled,Female,18-24,Recruitment Agency,4,Medium,0.086,0.182,0,0,1,1430,12
Lumbini,Japan,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.15,0.14,0,0,9,647,12
Province 1,Malaysia,Cleaning,Unskilled,Male,25-34,Individual,4,Medium,0.058,0.176,0,0,1,1319,24
Sudurpashchim,Saudi Arabia,Hospitality,Unskilled,Male,35-44,Recruitment Agency,7,High,0.251,0.284,0,0,9,1465,12
Bagmati,UK,Cleaning,Skilled,Male,25-34,Recruitment Agency,1,Low,0.03,0.036,0,0,3,1439,24
Madhesh,South Korea,Construction,Skilled,Male,35-44,Individual,7,High,0.258,0.291,1,0,9,385,12
Bagmati,UK,Driving,Unskilled,Male,25-34,Individual,2,Low,0.043,0.025,0,0,5,951,12
Sudurpashchim,Oman,Cleaning,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.016,0.044,0,0,7,788,24
Lumbini,Japan,Healthcare,Skilled,Male,25-34,Recruitment Agency,0,Low,0.031,0.036,0,0,1,643,12
Province 1,Japan,Domestic Work,Semi-skilled,Female,35-44,Recruitment Agency,8,High,0.251,0.334,0,0,8,1085,24
Madhesh,Malaysia,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.012,0.021,0,0,6,1061,36
Gandaki,Malaysia,Healthcare,Skilled,Male,25-34,Recruitment Agency,3,Low,0.029,0.029,0,0,5,1436,24
Lumbini,South Korea,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.15,0.184,1,0,7,743,12
Sudurpashchim,UK,Driving,Skilled,Male,18-24,Recruitment Agency,0,Low,0.037,0.032,0,0,8,1376,12
Madhesh,UAE,Domestic Work,Semi-skilled,Female,18-24,Recruitment Agency,10,High,0.208,0.238,0,0,5,596,12
Lumbini,UAE,Construction,Skilled,Male,25-34,Recruitment Agency,7,High,0.204,0.311,0,0,2,314,12
Lumbini,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.048,0.058,0,0,3,974,12
Karnali,Bahrain,Construction,Semi-skilled,Female,35-44,Recruitment Agency,9,High,0.273,0.219,0,0,8,594,12
Gandaki,UAE,Cleaning,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.137,0.103,0,0,4,764,36
Bagmati,UAE,Manufacturing,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.093,0.197,0,0,7,589,12
Province 1,Bahrain,Hospitality,Skilled,Male,25-34,Recruitment Agency,0,Low,0.03,0.079,0,0,5,908,24
Lumbini,Japan,Driving,Skilled,Male,25-34,Recruitment Agency,1,Low,0.022,0.057,0,1,3,1327,24
Lumbini,Malaysia,Manufacturing,Skilled,Male,35-44,Recruitment Agency,4,Medium,0.084,0.119,0,0,7,371,24
Lumbini,Oman,Hospitality,Skilled,Male,18-24,Recruitment Agency,1,Low,0.043,0.079,0,0,7,1039,24
Sudurpashchim,Saudi Arabia,Healthcare,Skilled,Male,35-44,Recruitment Agency,3,Low,0.024,0.063,1,0,4,764,24
Sudurpashchim,Malaysia,Hospitality,Unskilled,Female,25-34,Recruitment Agency,5,Medium,0.092,0.127,0,0,8,706,12
Karnali,Malaysia,Driving,Unskilled,Male,25-34,Individual,8,High,0.198,0.225,0,0,2,1106,24
Karnali,Kuwait,Hospitality,Unskilled,Male,35-44,Recruitment Agency,8,High,0.247,0.202,0,1,9,1351,12
Madhesh,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.168,0.297,1,0,7,1495,12
Gandaki,UAE,Manufacturing,Skilled,Male,25-34,Individual,4,Medium,0.139,0.124,0,0,6,1211,12
Province 1,South Korea,Manufacturing,Semi-skilled,Male,18-24,Recruitment Agency,5,Medium,0.089,0.192,0,0,6,324,12
Bagmati,South Korea,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.16,0.314,0,0,7,757,12
Sudurpashchim,Oman,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.092,0.119,0,1,5,1055,24
Lumbini,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,7,High,0.182,0.328,0,0,8,552,24
Sudurpashchim,Qatar,Driving,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.141,0.178,0,1,7,405,24
Lumbini,Japan,Driving,Skilled,Male,25-34,Recruitment Agency,0,Low,0.042,0.032,0,0,3,743,12
Bagmati,UAE,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.182,0.271,0,1,5,454,36
Madhesh,UAE,Cleaning,Unskilled,Male,25-34,Recruitment Agency,8,High,0.288,0.3,1,1,1,1138,12
Lumbini,Qatar,Manufacturing,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.142,0.105,0,0,5,1172,36
Madhesh,Malaysia,Construction,Skilled,Male,35-44,Recruitment Agency,8,High,0.3,0.268,0,0,6,1346,36
Karnali,Oman,Healthcare,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.108,0.135,0,0,6,570,36
Sudurpashchim,Saudi Arabia,Driving,Professional,Male,18-24,Recruitment Agency,4,Medium,0.05,0.105,0,0,1,860,12
Bagmati,Japan,Domestic Work,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.069,0.155,1,0,7,645,24
Province 1,Malaysia,Cleaning,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.059,0.169,0,0,4,969,12
Madhesh,South Korea,Driving,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.093,0.149,0,0,7,1279,12
Province 1,South Korea,Manufacturing,Skilled,Male,25-34,Individual,2,Low,0.016,0.064,0,0,6,740,12
Gandaki,Oman,Hospitality,Unskilled,Female,45+,Recruitment Agency,3,Low,0.03,0.048,0,0,3,695,12
Bagmati,UK,Driving,Skilled,Male,25-34,Recruitment Agency,1,Low,0.043,0.029,0,0,5,1472,12
Gandaki,UAE,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.295,0.291,0,0,6,1366,24
Sudurpashchim,South Korea,Healthcare,Semi-skilled,Female,35-44,Recruitment Agency,2,Low,0.022,0.076,0,0,6,849,12
Madhesh,Kuwait,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.276,0.216,1,0,2,722,12
Gandaki,Bahrain,Cleaning,Skilled,Male,35-44,Recruitment Agency,0,Low,0.049,0.036,0,0,9,1469,24
Bagmati,Bahrain,Construction,Unskilled,Male,18-24,Recruitment Agency,7,High,0.188,0.256,0,0,9,1139,36
Karnali,Saudi Arabia,Healthcare,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.055,0.144,0,0,6,1404,12
Bagmati,Malaysia,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.212,0.212,0,0,2,350,12
Gandaki,Kuwait,Manufacturing,Skilled,Male,18-24,Individual,4,Medium,0.109,0.13,1,0,7,666,24
Lumbini,South Korea,Driving,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.062,0.156,0,0,8,308,12
Gandaki,UK,Hospitality,Unskilled,Male,35-44,Recruitment Agency,3,Low,0.014,0.028,0,0,5,1361,24
Karnali,Japan,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.093,0.133,0,1,4,767,12
Madhesh,Saudi Arabia,Healthcare,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.071,0.138,0,0,4,326,24
Province 1,UAE,Hospitality,Unskilled,Male,35-44,Recruitment Agency,7,High,0.185,0.207,0,0,2,773,24
Karnali,UAE,Hospitality,Skilled,Female,18-24,Recruitment Agency,5,Medium,0.136,0.129,0,1,4,1368,12
Gandaki,Qatar,Cleaning,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.098,0.156,0,1,6,585,24
Madhesh,UK,Hospitality,Semi-skilled,Male,25-34,Recruitment Agency,3,Low,0.036,0.075,0,0,7,1242,24
Bagmati,South Korea,Cleaning,Semi-skilled,Male,18-24,Recruitment Agency,1,Low,0.047,0.072,0,0,8,1023,36
Madhesh,Qatar,Driving,Unskilled,Male,25-34,Recruitment Agency,8,High,0.237,0.293,0,0,9,404,36
Sudurpashchim,South Korea,Hospitality,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.029,0.035,0,0,9,1136,12
Sudurpashchim,UK,Healthcare,Skilled,Male,25-34,Recruitment Agency,2,Low,0.047,0.046,0,0,1,544,12
Lumbini,South Korea,Healthcare,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.027,0.048,0,0,8,1074,12
Sudurpashchim,Malaysia,Hospitality,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.051,0.135,0,0,8,924,24
Gandaki,Oman,Hospitality,Unskilled,Female,18-24,Individual,3,Low,0.042,0.073,0,0,4,773,12
Bagmati,Qatar,Construction,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.133,0.133,0,0,9,529,12
Province 1,UK,Driving,Unskilled,Female,25-34,Recruitment Agency,4,Medium,0.087,0.195,0,0,8,589,12
Bagmati,Japan,Construction,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.053,0.16,0,0,8,863,12
Lumbini,Malaysia,Construction,Unskilled,Male,35-44,Recruitment Agency,8,High,0.248,0.203,0,0,4,763,12
Karnali,UK,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.121,0.105,0,0,7,1404,12
Province 1,Oman,Domestic Work,Unskilled,Female,35-44,Recruitment Agency,8,High,0.266,0.2,0,0,4,725,12
Madhesh,Saudi Arabia,Construction,Skilled,Male,35-44,Recruitment Agency,9,High,0.245,0.235,0,0,5,979,12
Lumbini,UK,Construction,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.12,0.164,0,0,7,1134,12
Lumbini,UK,Construction,Unskilled,Male,18-24,Recruitment Agency,7,High,0.292,0.295,0,0,4,606,36
Madhesh,South Korea,Domestic Work,Unskilled,Male,45+,Recruitment Agency,9,High,0.178,0.216,1,0,2,1241,24
Province 1,Bahrain,Driving,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.026,0.068,0,0,7,1053,36
Karnali,UAE,Cleaning,Unskilled,Male,35-44,Recruitment Agency,7,High,0.192,0.284,0,0,2,611,12
Province 1,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,7,High,0.156,0.313,1,0,1,1458,12
Madhesh,Kuwait,Cleaning,Unskilled,Male,25-34,Recruitment Agency,8,High,0.165,0.34,0,0,8,471,24
Gandaki,Qatar,Domestic Work,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.059,0.183,0,1,2,1394,12
Sudurpashchim,South Korea,Domestic Work,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.08,0.116,0,0,8,1438,12
Madhesh,UK,Healthcare,Unskilled,Male,25-34,Individual,6,Medium,0.122,0.159,0,0,3,834,12
Karnali,Saudi Arabia,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,10,High,0.181,0.316,0,1,4,715,12
Lumbini,South Korea,Manufacturing,Skilled,Female,35-44,Recruitment Agency,2,Low,0.037,0.023,0,0,9,391,12
Bagmati,Qatar,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,8,High,0.278,0.247,0,0,2,994,24
Karnali,Bahrain,Construction,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.095,0.194,0,0,9,1088,24
Lumbini,UK,Driving,Skilled,Female,25-34,Recruitment Agency,1,Low,0.012,0.072,0,0,4,1074,12
Sudurpashchim,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,8,High,0.23,0.221,1,0,7,878,24
Madhesh,South Korea,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,7,High,0.209,0.27,1,0,7,1373,12
Gandaki,Malaysia,Construction,Unskilled,Male,18-24,Recruitment Agency,9,High,0.276,0.27,0,1,3,983,12
Lumbini,Oman,Driving,Unskilled,Female,25-34,Recruitment Agency,4,Medium,0.147,0.189,0,0,9,1175,12
Karnali,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.28,0.22,0,0,2,1468,24
Province 1,Oman,Cleaning,Skilled,Male,25-34,Recruitment Agency,0,Low,0.019,0.025,0,0,3,1037,12
Gandaki,UAE,Hospitality,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.132,0.2,0,0,4,672,36
Madhesh,Saudi Arabia,Hospitality,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.129,0.104,0,0,8,1392,24
Sudurpashchim,Malaysia,Driving,Unskilled,Male,18-24,Recruitment Agency,7,High,0.204,0.31,0,1,1,1190,12
Gandaki,Saudi Arabia,Cleaning,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.103,0.175,0,0,3,320,24
Lumbini,Oman,Construction,Unskilled,Male,35-44,Recruitment Agency,7,High,0.212,0.33,0,0,5,557,12
Madhesh,Japan,Domestic Work,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.07,0.108,0,1,7,916,12
Gandaki,UAE,Manufacturing,Skilled,Male,45+,Individual,6,Medium,0.126,0.105,0,0,3,1163,12
Karnali,Oman,Driving,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.059,0.184,0,0,4,566,36
Lumbini,South Korea,Healthcare,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.033,0.043,0,0,7,745,12
Gandaki,Kuwait,Construction,Unskilled,Male,35-44,Recruitment Agency,8,High,0.199,0.273,0,0,6,1149,36
Sudurpashchim,Oman,Manufacturing,Unskilled,Male,25-34,Individual,6,Medium,0.064,0.171,0,0,1,475,24
Karnali,Saudi Arabia,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.287,0.262,0,0,1,748,12
Bagmati,Saudi Arabia,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,9,High,0.232,0.301,0,0,6,1366,36
Bagmati,Oman,Driving,Semi-skilled,Male,35-44,Recruitment Agency,1,Low,0.033,0.02,0,0,8,880,12
Province 1,Saudi Arabia,Hospitality,Unskilled,Male,25-34,Recruitment Agency,7,High,0.181,0.249,0,0,7,667,12
Bagmati,Bahrain,Manufacturing,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.057,0.115,0,0,7,1149,12
Gandaki,Oman,Manufacturing,Semi-skilled,Male,18-24,Recruitment Agency,3,Low,0.039,0.023,0,0,1,1455,12
Gandaki,UAE,Domestic Work,Skilled,Male,35-44,Individual,5,Medium,0.145,0.114,1,0,8,1429,12
Province 1,UAE,Manufacturing,Semi-skilled,Male,35-44,Individual,6,Medium,0.114,0.177,0,1,2,1357,24
Bagmati,Saudi Arabia,Construction,Skilled,Male,35-44,Recruitment Agency,8,High,0.189,0.303,0,0,2,317,24
Bagmati,UK,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,7,High,0.204,0.343,1,0,1,725,12
Sudurpashchim,Saudi Arabia,Manufacturing,Skilled,Male,25-34,Individual,7,High,0.267,0.345,0,1,6,686,12
Sudurpashchim,Oman,Construction,Semi-skilled,Male,25-34,Recruitment Agency,6,Medium,0.142,0.193,0,0,1,345,24
Gandaki,Malaysia,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,7,High,0.207,0.203,0,0,2,1214,24
Madhesh,Oman,Healthcare,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.077,0.145,0,0,4,1466,12
Lumbini,Bahrain,Driving,Skilled,Male,18-24,Recruitment Agency,0,Low,0.015,0.045,0,0,7,628,12
Madhesh,Kuwait,Manufacturing,Skilled,Male,18-24,Recruitment Agency,6,Medium,0.095,0.169,0,0,5,1026,12
Province 1,South Korea,Construction,Unskilled,Male,18-24,Recruitment Agency,7,High,0.2,0.335,0,0,1,1129,12
Bagmati,Bahrain,Construction,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.067,0.162,0,1,4,569,12
Lumbini,Qatar,Hospitality,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.078,0.193,0,0,4,1262,12
Province 1,UK,Hospitality,Unskilled,Female,25-34,Recruitment Agency,3,Low,0.033,0.027,0,0,4,607,12
Karnali,Malaysia,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.027,0.067,0,0,6,1196,36
Gandaki,Malaysia,Healthcare,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.145,0.149,1,0,7,1310,12
Karnali,Saudi Arabia,Healthcare,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.135,0.169,1,0,8,726,24
Sudurpashchim,Qatar,Construction,Skilled,Male,35-44,Recruitment Agency,7,High,0.169,0.259,0,0,8,354,24
Gandaki,Bahrain,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.111,0.104,0,0,9,543,24
Sudurpashchim,South Korea,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.084,0.134,1,1,3,1196,12
Sudurpashchim,Kuwait,Driving,Unskilled,Male,18-24,Recruitment Agency,7,High,0.193,0.317,0,0,3,455,12
Madhesh,Bahrain,Healthcare,Skilled,Male,35-44,Recruitment Agency,3,Low,0.02,0.04,0,0,6,1180,24
Gandaki,UAE,Domestic Work,Unskilled,Male,25-34,Individual,10,High,0.288,0.219,0,0,9,897,12
Karnali,Kuwait,Manufacturing,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.13,0.136,0,0,7,339,24
Province 1,Malaysia,Healthcare,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.126,0.149,0,0,7,1142,24
Karnali,South Korea,Driving,Skilled,Male,25-34,Recruitment Agency,1,Low,0.049,0.069,0,0,7,885,12
Gandaki,UAE,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,7,High,0.161,0.226,0,0,5,1210,12
Sudurpashchim,Kuwait,Hospitality,Skilled,Male,25-34,Recruitment Agency,2,Low,0.012,0.038,0,1,9,1030,12
Province 1,UAE,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,8,High,0.237,0.255,1,0,5,1288,24
Karnali,UK,Hospitality,Skilled,Male,35-44,Recruitment Agency,2,Low,0.021,0.054,0,0,3,1471,12
Bagmati,Kuwait,Hospitality,Unskilled,Female,25-34,Recruitment Agency,5,Medium,0.085,0.115,0,0,2,589,24
Province 1,UAE,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,9,High,0.17,0.278,0,0,4,1258,12
Bagmati,UK,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.196,0.271,0,0,8,1065,12
Gandaki,Saudi Arabia,Construction,Unskilled,Female,35-44,Individual,9,High,0.156,0.224,0,0,4,1056,12
Sudurpashchim,South Korea,Construction,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.141,0.151,0,0,7,964,24
Province 1,UAE,Hospitality,Skilled,Female,25-34,Recruitment Agency,4,Medium,0.051,0.111,0,0,5,1183,12
Madhesh,Oman,Hospitality,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.121,0.173,0,0,9,1052,12
Karnali,Saudi Arabia,Healthcare,Semi-skilled,Male,45+,Recruitment Agency,8,High,0.16,0.301,0,1,8,1416,36
Sudurpashchim,Saudi Arabia,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,9,High,0.295,0.341,1,0,8,512,24
Gandaki,Malaysia,Driving,Semi-skilled,Female,25-34,Recruitment Agency,5,Medium,0.132,0.129,0,1,2,1321,24
Karnali,UK,Healthcare,Skilled,Male,18-24,Individual,1,Low,0.041,0.026,0,0,9,987,12
Bagmati,Malaysia,Healthcare,Skilled,Male,25-34,Recruitment Agency,3,Low,0.047,0.042,0,0,8,1491,12
Bagmati,Oman,Driving,Skilled,Female,25-34,Regularisation,0,Low,0.038,0.049,0,0,2,1216,24
Gandaki,Saudi Arabia,Construction,Unskilled,Male,35-44,Recruitment Agency,9,High,0.186,0.223,1,1,9,806,24
Province 1,Qatar,Hospitality,Unskilled,Male,25-34,Individual,6,Medium,0.11,0.135,0,0,3,815,12
Sudurpashchim,UK,Manufacturing,Unskilled,Female,45+,Regularisation,5,Medium,0.06,0.14,0,0,8,1481,12
Lumbini,Kuwait,Manufacturing,Unskilled,Female,18-24,Recruitment Agency,7,High,0.17,0.217,0,0,6,386,12
Karnali,Malaysia,Driving,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.082,0.186,0,0,8,818,12
Bagmati,Kuwait,Hospitality,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.098,0.109,0,0,7,998,12
Gandaki,Japan,Cleaning,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.055,0.169,0,0,2,759,36
